Index,X,Y,Distance_to_Next
304,-0.480430405150855,0.199584704699191,0.00266589838629893
305,-0.482747369100707,0.198266109893666,0.108219008066513
306,-0.375855743242482,0.181368357727024,0.0832405706197757
307,-0.293617852354146,0.168487290250141,0.19349776057222
308,-0.485021853488888,0.196875521897709,0.405294028594874
309,-0.0843280472754486,0.135984444744736,0.293018884507674
310,-0.374121104550341,0.179343995404224,0.239162697447176
311,-0.137610616658094,0.143825198026207,0.353426468907005
312,-0.48725162206847,0.195414307920601,0.194518710914961
313,-0.294943121436972,0.166174446756713,0.0782972929647244
314,-0.372450786360787,0.177266243890699,0.118158079807387
315,-0.489434482557954,0.193883904611084,0.00266589838611802
316,-0.491568288794042,0.192285816643562,0.121933768396584
317,-0.37084643091066,0.175137146007728,0.0755039940831287
318,-0.296195226820146,0.163821190443059,0.199266210281357
319,-0.493650942844397,0.190621615239024,0.125589573140938
320,-0.369309615583461,0.172958795059003,0.127371391136382
321,-0.495680397066735,0.188892936621187,0.361772330797536
322,-0.137063384313933,0.141216343884935,0.232658448125461
323,-0.367841851357753,0.17073333277358,0.130840668520846
324,-0.497654656126997,0.187101480406227,0.201920281831099
325,-0.297372937448017,0.161429835002309,0.30513961636595
326,-0.600063165871688,0.200014949914475,0.0254958964748997
327,-0.575061678999191,0.195018311922468,0.0761194082282893
328,-0.499571778955669,0.185249007932725,0.134181304900265
329,-0.366444581321957,0.168462947199714,0.135802351285581
330,-0.501429880661362,0.183337340529988,0.204408458848089
331,-0.298475095410595,0.159002731585815,0.215382124646997
332,-0.0846278034860006,0.133335722528045,0.28240428501
333,-0.365119179255998,0.166149870553909,0.138943908179503
334,-0.503227134379358,0.181368357727024,0.36911599146205
335,-0.136598213709931,0.138591615427231,0.228662103812615
336,-0.363866948279338,0.163796377025619,0.141948857059075
337,-0.5049617730715,0.179343995404224,0.206722532548613
338,-0.299500617078593,0.156542266492352,0.208165633177541
339,-0.506632091261054,0.177266243890699,0.144814243493384
340,-0.362689119570859,0.161404780542171,0.0626735639221898
341,-0.300448494172088,0.154050858821165,0.20885512856452
342,-0.50823644671118,0.175137146007728,0.147537250268594
343,-0.361586851157881,0.158977432493202,0.14884451910917
344,-0.509773262038379,0.172958795059003,0.209553892923923
345,-0.301317794749593,0.151530958094327,0.210799654465586
346,-0.511241026264088,0.17073333277358,0.376634742132088
347,-0.136215562195503,0.135953593254044,0.225286083401455
348,-0.360561226777463,0.156516719418278,0.152545558548038
349,-0.512638296299883,0.168462947199714,0.42945928508456
350,-0.0848443696722825,0.130678904458364,0.275758922339938
351,-0.359613254811393,0.154025060662207,0.0577260318206674
352,-0.302107664125742,0.148985041847254,0.212550254265835
353,-0.513963698365842,0.166149870553909,0.00266589838640043
354,-0.515215929342503,0.163796377025619,0.156954090299422
